[versionname]3.13.0;
[download_link]https://files.ygom.top/files/YGOMobile_3.13.0.Apk$
#pre_release_code
101303081	22106558
101303082	69191257
101303083	95589901
101303084	22984000
101303085	68378605
101303086	94467314
101303087	21861412
101303088	57256127
101303089	94641726
101303090	20049870
101303091	56034579
101303092	83528184
101303093	29927283
101303094	56311997
101303095	82706696
101303096	18795635
100200283	89693655
100228003	22623509
100238401	64413994
101304201	83445539
101304202	19434243
101304203	56838842
101304204	82323997
101304005	18711696
101304006	45116390
101304007	81101309
101304008	18595008
101304009	44994712
101304010	70488851
101304011	17473466
101304012	43871165
101304013	10266279
101304014	56651978
101304015	82159583
101304016	19144622
101304017	82933935
101304018	18321034
101304019	44716748
101304020	71801447
101304021	17209452
101304022	45538320
101304023	44694191
101304024	70088809
101304025	6083904
101304026	43471513
101304027	79966218
101304028	6361316
101304029	42759961
101304030	78744660
101304031	5148778
101304032	31533473
101304033	78021082
101304034	4026187
101304035	31411835
101304205	67809530
101304206	3294539
101304038	30698243
101304039	66787942
101304040	93172951
101304041	39576656
101304042	65961304
101304043	92359409
101304044	38354018
101304045	65848113
101304046	91237821
101304047	27632520
101304048	64626565
101304049	90011273
101304050	27519978
101304051	53904087
101304207	99398682
101304053	26387390
101304054	52782439
101304055	89176044
101304056	25661743
101304057	51669847
101304058	84054556
101304059	20448151
101304060	57847269
101304061	83232904
101304062	19326613
101304063	56725612
101304064	82119326
101304065	19504025
101304066	45508030
101304067	82997779
101304068	18482473
101304069	44886582
101304070	71275181
101304208	17269895
101304072	44654994
101304073	70058649
101304074	6547248
101304075	43932352
101304076	79936051
101304077	6325660
101304078	42719764
101304079	78114463
101304080	5208118
101304116	19144623
100254201	48016074
100254202	11911336
